file_name,year,issue,coding
ZA7570_v2-0-0.sav,2018,xmarsex1,v3
ZA7570_v2-0-0.sav,2018,homosex1,v4
ZA7570_v2-0-0.sav,2018,abpoorw,v5
ZA7570_v2-0-0.sav,2018,hubbywrk,v6
ZA4950_v2-3-0.sav,2008,xmarsex1,v8
ZA4950_v2-3-0.sav,2008,premars1,v7
ZA4950_v2-3-0.sav,2008,homosex1,v9
ZA4950_v2-3-0.sav,2008,abpoorw,v11
ZA4950_v2-3-0.sav,2008,hubbywrk,v12
ZA4950_v2-3-0.sav,2008,abdefctw,v10
ZA3190_2006-04-27.sav,1998,xmarsex1,v8
ZA3190_2006-04-27.sav,1998,premars1,v7
ZA3190_2006-04-27.sav,1998,homosex1,v9
ZA3190_2006-04-27.sav,1998,abpoorw,v11
ZA3190_2006-04-27.sav,1998,hubbywrk,v12
ZA3190_2006-04-27.sav,1998,abdefctw,v10
ZA2150_2006-04-24.sav,1991,xmarsex1,v10
ZA2150_2006-04-24.sav,1991,premars1,v9
ZA2150_2006-04-24.sav,1991,homosex1,v11
ZA2150_2006-04-24.sav,1991,abpoorw,v15
ZA2150_2006-04-24.sav,1991,hubbywrk,v16
ZA2150_2006-04-24.sav,1991,abdefctw,v14
ZA6900_v2-0-0.sav,2016,protest1,v2
ZA6900_v2-0-0.sav,2016,protest3,v3
ZA4700.sav,2006,protest1,v5
ZA4700.sav,2006,protest3,v6
ZA2900_2006-04-12.sav,1996,protest1,v5
ZA2900_2006-04-12.sav,1996,protest3,v6
ZA1950_2006-04-12.sav,1990,protest1,v5
ZA1950_2006-04-12.sav,1990,protest3,v7
ZA1490.sav,1985,protest1,v7
ZA1490.sav,1985,protest3,v9
ZA6980_v2-0-0.sav,2017,firstyou,v39
ZA6980_v2-0-0.sav,2017,helpfrds,v40
ZA3680_2006-03-06.sav,2001,firstyou,v52
ZA3680_2006-03-06.sav,2001,helpfrds,v53
ZA5900_v4-0-0.sav,2012,marlegit,v15
ZA5900_v4-0-0.sav,2012,hubbywk1,v11
ZA5900_v4-0-0.sav,2012,cohabok,v16
ZA3880_v1-1-0.sav,2002,hubbywrk,v11
ZA3880_v1-1-0.sav,2002,marlegit,v20
ZA3880_v1-1-0.sav,2002,hubbywk1,v11
ZA3880_v1-1-0.sav,2002,cohabok,v22
ZA2620_2005-12-14.sav,1994,marlegit,v23
ZA2620_2005-12-14.sav,1994,hubbywk1,v12
ZA2620_2005-12-14.sav,1994,cohabok,v25
ZA1700_2005-11-24.sav,1988,marlegit,v32
ZA1700_2005-11-24.sav,1988,hubbywk1,v12
ZA5950_v2-0-0.sav,2013,immrghts,v53
ZA3910_v2-1-0.sav,2003,immrghts,v61
ZA6670_v2-0-0.sav,2014,racmeet,v16
ZA3950_v1-3-0.sav,2004,racmeet,v16
ZA3190_2006-04-27.sav,1998,cohabok,v14
ZA1490.sav,1985,verdict,v27
ZA1950_2006-04-12.sav,1990,verdict,v19
ZA2900_2006-04-12.sav,1996,verdict,v14
ZA4700.sav,2006,verdict,v10
ZA6900_v2-0-0.sav,2016,verdict,v6
ZA2620_2005-12-14.sav,1994,homosex1,v48
ZA2620_2005-12-14.sav,1994,xmarsex1,v47
ZA2620_2005-12-14.sav,1994,premars1,v45
